time,id,source,dest
224,passenger667,1,24
224,passenger668,1,6
224,passenger669,1,21
225,passenger670,1,6
225,passenger671,1,9
225,passenger672,1,16
226,passenger673,1,21
226,passenger674,1,6
227,passenger675,1,7
228,passenger676,1,23
228,passenger677,1,9
228,passenger678,1,7
228,passenger679,1,19
229,passenger680,1,4
229,passenger681,1,22
229,passenger682,1,23
229,passenger683,1,22
230,passenger684,1,9
230,passenger685,1,4
230,passenger686,1,12
230,passenger687,1,10
231,passenger688,1,25
231,passenger689,1,17
232,passenger690,1,24
232,passenger691,1,20
232,passenger692,1,19
233,passenger693,1,4
234,passenger694,1,3
234,passenger695,1,3
234,passenger696,1,16
234,passenger697,1,6
235,passenger698,1,25
235,passenger699,1,5
235,passenger700,1,24
236,passenger701,1,18
236,passenger702,1,4
236,passenger703,1,3
237,passenger704,1,11
237,passenger705,1,10
238,passenger706,1,9
238,passenger707,1,14
239,passenger708,1,5
239,passenger709,1,5
239,passenger710,1,18
239,passenger711,1,25
239,passenger712,1,8
240,passenger713,1,24
241,passenger714,1,10
241,passenger715,1,10
241,passenger716,1,4
241,passenger717,1,12
241,passenger718,1,13
241,passenger719,1,17
242,passenger720,1,5
242,passenger721,1,6
243,passenger722,1,12
243,passenger723,1,3
243,passenger724,1,5
243,passenger725,1,17
244,passenger726,1,24
244,passenger727,1,15
245,passenger728,1,5
245,passenger729,1,25
246,passenger730,1,14
246,passenger731,1,19
246,passenger732,1,6
246,passenger733,1,15
247,passenger734,1,3
247,passenger735,1,17
247,passenger736,1,6
247,passenger737,1,23
248,passenger738,1,3
248,passenger739,1,17
249,passenger740,1,5
249,passenger741,1,18
249,passenger742,1,13
249,passenger743,1,25
249,passenger744,1,17
250,passenger745,1,10
250,passenger746,1,4
250,passenger747,1,16
251,passenger748,1,12
251,passenger749,1,3
252,passenger750,1,15
252,passenger751,1,7
253,passenger752,1,7
253,passenger753,1,2
253,passenger754,1,10
253,passenger755,1,7
253,passenger756,1,3
254,passenger757,1,12
254,passenger758,1,7
254,passenger759,1,5
254,passenger760,1,13
254,passenger761,1,3
255,passenger762,1,25
255,passenger763,1,13
256,passenger764,1,25
256,passenger765,1,23
256,passenger766,1,25
256,passenger767,1,15
256,passenger768,1,12
256,passenger769,1,19
257,passenger770,1,3
257,passenger771,1,22
257,passenger772,1,9
257,passenger773,1,2
257,passenger774,1,7
258,passenger775,1,7
258,passenger776,1,2
258,passenger777,1,18
258,passenger778,1,4
259,passenger779,1,22
259,passenger780,1,12
260,passenger781,1,19
260,passenger782,1,10
261,passenger783,1,5
262,passenger784,1,6
262,passenger785,1,17
262,passenger786,1,19
263,passenger787,1,8
263,passenger788,1,10
264,passenger789,1,24
265,passenger790,1,22
265,passenger791,1,11
265,passenger792,1,7
266,passenger793,1,9
266,passenger794,1,14
266,passenger795,1,15
266,passenger796,1,6
266,passenger797,1,3
267,passenger798,1,13
267,passenger799,1,21
267,passenger800,1,5
267,passenger801,1,11
268,passenger802,1,5
268,passenger803,1,7
268,passenger804,1,16
268,passenger805,1,8
268,passenger806,1,8
268,passenger807,1,25
269,passenger808,1,6
269,passenger809,1,6
269,passenger810,1,24
269,passenger811,1,15
270,passenger812,1,3
270,passenger813,1,12
270,passenger814,1,15
270,passenger815,1,8
270,passenger816,1,15
270,passenger817,1,17
270,passenger818,1,8
270,passenger819,1,21
270,passenger820,1,12
271,passenger821,1,25
271,passenger822,1,4
272,passenger823,1,9
272,passenger824,1,19
272,passenger825,1,23
273,passenger826,1,7
273,passenger827,1,25
274,passenger828,1,6
274,passenger829,1,11
274,passenger830,1,9
275,passenger831,1,12
275,passenger832,1,23
276,passenger833,1,19
276,passenger834,1,21
277,passenger835,1,8
277,passenger836,1,24
277,passenger837,1,12
277,passenger838,1,17
278,passenger839,1,18
278,passenger840,1,17
279,passenger841,1,16
279,passenger842,1,13
279,passenger843,1,17
279,passenger844,1,23
280,passenger845,1,11
280,passenger846,1,14
280,passenger847,1,6
280,passenger848,1,10
280,passenger849,1,20
280,passenger850,1,17
280,passenger851,1,7
281,passenger852,1,15
281,passenger853,1,21
281,passenger854,1,4
282,passenger855,1,3
282,passenger856,1,11
283,passenger857,1,17
283,passenger858,1,9
283,passenger859,1,21
283,passenger860,1,22
283,passenger861,1,14
283,passenger862,1,11
284,passenger863,1,3
284,passenger864,1,21
284,passenger865,1,23
284,passenger866,1,12
285,passenger867,1,14
285,passenger868,1,20
286,passenger869,1,18
287,passenger870,1,5
288,passenger871,1,18
288,passenger872,1,24
289,passenger873,1,20
289,passenger874,1,13
289,passenger875,1,14
290,passenger876,1,8
290,passenger877,1,17
290,passenger878,1,7
290,passenger879,1,10
291,passenger880,1,8
291,passenger881,1,10
291,passenger882,1,10
291,passenger883,1,3
292,passenger884,1,19
292,passenger885,1,12
292,passenger886,1,24
293,passenger887,1,6
293,passenger888,1,18
294,passenger889,1,6
295,passenger890,1,15
295,passenger891,1,13
295,passenger892,1,12
295,passenger893,1,17
296,passenger894,1,21
296,passenger895,1,9
296,passenger896,1,22
296,passenger897,1,6
296,passenger898,1,9
296,passenger899,1,9
297,passenger900,1,24
297,passenger901,1,4
298,passenger902,1,11
298,passenger903,1,12
298,passenger904,1,21
298,passenger905,1,13
298,passenger906,1,25
300,passenger907,1,19
300,passenger908,1,18
300,passenger909,1,20
301,passenger910,1,5
301,passenger911,1,12
301,passenger912,1,16
301,passenger913,1,7
302,passenger914,1,4
302,passenger915,1,5
302,passenger916,1,20
302,passenger917,1,17
304,passenger918,1,8
304,passenger919,1,19
304,passenger920,1,18
305,passenger921,1,21
305,passenger922,1,23
305,passenger923,1,23
305,passenger924,1,6
306,passenger925,1,20
306,passenger926,1,11
307,passenger927,1,11
307,passenger928,1,17
308,passenger929,1,16
308,passenger930,1,12
309,passenger931,1,25
309,passenger932,1,6
310,passenger933,1,4
311,passenger934,1,2
311,passenger935,1,21
311,passenger936,1,11
312,passenger937,1,12
312,passenger938,1,17
312,passenger939,1,12
313,passenger940,1,15
313,passenger941,1,3
314,passenger942,1,5
314,passenger943,1,24
314,passenger944,1,12
314,passenger945,1,6
314,passenger946,1,10
315,passenger947,1,10
315,passenger948,1,8
315,passenger949,1,9
315,passenger950,1,19
315,passenger951,1,4
316,passenger952,1,9
316,passenger953,1,13
316,passenger954,1,14
316,passenger955,1,23
316,passenger956,1,24
317,passenger957,1,9
317,passenger958,1,14
318,passenger959,1,2
319,passenger960,1,16
319,passenger961,1,5
319,passenger962,1,3
319,passenger963,1,18
320,passenger964,1,6
320,passenger965,1,13
320,passenger966,1,4
320,passenger967,1,19
320,passenger968,1,20
321,passenger969,1,15
321,passenger970,1,22
321,passenger971,1,12
321,passenger972,1,6
322,passenger973,1,5
322,passenger974,1,7
323,passenger975,1,6
323,passenger976,1,9
324,passenger977,1,7
324,passenger978,1,16
324,passenger979,1,5
325,passenger980,1,16
325,passenger981,1,10
325,passenger982,1,18
325,passenger983,1,14
326,passenger984,1,23
326,passenger985,1,12
326,passenger986,1,9
326,passenger987,1,16
328,passenger988,1,17
328,passenger989,1,12
329,passenger990,1,15
329,passenger991,1,13
329,passenger992,1,9
329,passenger993,1,9
330,passenger994,1,23
330,passenger995,1,18
330,passenger996,1,4
330,passenger997,1,25
331,passenger998,1,19
332,passenger999,1,3
332,passenger1000,1,19
332,passenger1001,1,16
332,passenger1002,1,23
332,passenger1003,1,13
332,passenger1004,1,14
333,passenger1005,1,9
333,passenger1006,1,9
333,passenger1007,1,16
334,passenger1008,1,21
334,passenger1009,1,23
334,passenger1010,1,20
334,passenger1011,1,16
334,passenger1012,1,14
334,passenger1013,1,10
335,passenger1014,1,20
336,passenger1015,1,9
336,passenger1016,1,8
336,passenger1017,1,22
336,passenger1018,1,16
336,passenger1019,1,10
337,passenger1020,1,22
337,passenger1021,1,25
337,passenger1022,1,9
338,passenger1023,1,14
338,passenger1024,1,13
338,passenger1025,1,18
339,passenger1026,1,24
339,passenger1027,1,15
339,passenger1028,1,21
340,passenger1029,1,16
340,passenger1030,1,23
341,passenger1031,1,11
341,passenger1032,1,11
341,passenger1033,1,12
341,passenger1034,1,25
342,passenger1035,1,16
342,passenger1036,1,5
342,passenger1037,1,2
342,passenger1038,1,14
342,passenger1039,1,21
343,passenger1040,1,13
343,passenger1041,1,15
343,passenger1042,1,21
344,passenger1043,1,14
344,passenger1044,1,23
344,passenger1045,1,17
345,passenger1046,1,19
345,passenger1047,1,20
345,passenger1048,1,17
346,passenger1049,1,3
346,passenger1050,1,12
346,passenger1051,1,5
346,passenger1052,1,14
347,passenger1053,1,5
347,passenger1054,1,14
348,passenger1055,1,10
348,passenger1056,1,2
348,passenger1057,1,4
349,passenger1058,1,14
349,passenger1059,1,3
349,passenger1060,1,22
349,passenger1061,1,20
350,passenger1062,1,19
350,passenger1063,1,6
350,passenger1064,1,21
350,passenger1065,1,17
350,passenger1066,1,11
351,passenger1067,1,2
351,passenger1068,1,14
351,passenger1069,1,21
351,passenger1070,1,2
351,passenger1071,1,3
351,passenger1072,1,11
352,passenger1073,1,14
352,passenger1074,1,13
353,passenger1075,1,12
353,passenger1076,1,8
354,passenger1077,1,3
354,passenger1078,1,2
355,passenger1079,1,4
356,passenger1080,1,18
356,passenger1081,1,20
356,passenger1082,1,12
356,passenger1083,1,3
356,passenger1084,1,11
358,passenger1085,1,25
359,passenger1086,1,7
359,passenger1087,1,13
359,passenger1088,1,14
359,passenger1089,1,9
360,passenger1090,1,12
360,passenger1091,1,13
360,passenger1092,1,13
360,passenger1093,1,19
360,passenger1094,1,15
361,passenger1095,1,3
362,passenger1096,1,2
362,passenger1097,1,11
362,passenger1098,1,23
362,passenger1099,1,2
362,passenger1100,1,3
363,passenger1101,1,18
363,passenger1102,1,12
363,passenger1103,1,7
363,passenger1104,1,6
364,passenger1105,1,17
364,passenger1106,1,14
364,passenger1107,1,17
365,passenger1108,1,8
365,passenger1109,1,14
366,passenger1110,1,22
366,passenger1111,1,9
366,passenger1112,1,11
366,passenger1113,1,5
366,passenger1114,1,17
367,passenger1115,1,2
368,passenger1116,1,7
368,passenger1117,1,19
369,passenger1118,1,2
369,passenger1119,1,25
369,passenger1120,1,11
369,passenger1121,1,11
370,passenger1122,1,14
370,passenger1123,1,17
370,passenger1124,1,13
370,passenger1125,1,23
370,passenger1126,1,25
370,passenger1127,1,6
370,passenger1128,1,18
371,passenger1129,1,9
371,passenger1130,1,25
371,passenger1131,1,8
371,passenger1132,1,9
371,passenger1133,1,19
371,passenger1134,1,20
372,passenger1135,1,5
372,passenger1136,1,15
372,passenger1137,1,10
372,passenger1138,1,16
373,passenger1139,1,15
373,passenger1140,1,25
373,passenger1141,1,24
373,passenger1142,1,17
374,passenger1143,1,18
374,passenger1144,1,23
375,passenger1145,1,6
375,passenger1146,1,19
376,passenger1147,1,20
376,passenger1148,1,5
376,passenger1149,1,23
376,passenger1150,1,18
377,passenger1151,1,10
377,passenger1152,1,13
378,passenger1153,1,13
379,passenger1154,1,24
379,passenger1155,1,25
380,passenger1156,1,21
380,passenger1157,1,17
380,passenger1158,1,4
380,passenger1159,1,23
380,passenger1160,1,5
380,passenger1161,1,6
381,passenger1162,1,3
381,passenger1163,1,24
382,passenger1164,1,13
382,passenger1165,1,7
382,passenger1166,1,3
383,passenger1167,1,11
384,passenger1168,1,19
384,passenger1169,1,25
385,passenger1170,1,15
385,passenger1171,1,16
385,passenger1172,1,22
385,passenger1173,1,23
385,passenger1174,1,8
386,passenger1175,1,25
386,passenger1176,1,14
386,passenger1177,1,24
386,passenger1178,1,4
386,passenger1179,1,4
386,passenger1180,1,23
388,passenger1181,1,18
388,passenger1182,1,6
388,passenger1183,1,23
388,passenger1184,1,4
389,passenger1185,1,18
389,passenger1186,1,6
390,passenger1187,1,3
390,passenger1188,1,21
390,passenger1189,1,22
390,passenger1190,1,4
390,passenger1191,1,4
390,passenger1192,1,16
390,passenger1193,1,2
391,passenger1194,1,19
391,passenger1195,1,23
391,passenger1196,1,20
391,passenger1197,1,7
392,passenger1198,1,6
393,passenger1199,1,18
393,passenger1200,1,3
394,passenger1201,1,14
394,passenger1202,1,12
394,passenger1203,1,19
395,passenger1204,1,6
395,passenger1205,1,20
395,passenger1206,1,18
396,passenger1207,1,7
396,passenger1208,1,10
396,passenger1209,1,3
397,passenger1210,1,12
397,passenger1211,1,8
397,passenger1212,1,4
398,passenger1213,1,15
398,passenger1214,1,15
398,passenger1215,1,4
398,passenger1216,1,6
399,passenger1217,1,3
400,passenger1218,1,18
400,passenger1219,1,10
401,passenger1220,1,3
401,passenger1221,1,6
401,passenger1222,1,25
402,passenger1223,1,8
402,passenger1224,1,18
402,passenger1225,1,13
403,passenger1226,1,6
403,passenger1227,1,9
404,passenger1228,1,2
404,passenger1229,1,19
404,passenger1230,1,10
404,passenger1231,1,13
404,passenger1232,1,5
404,passenger1233,1,21
404,passenger1234,1,7
405,passenger1235,1,15
405,passenger1236,1,22
405,passenger1237,1,19
406,passenger1238,1,16
407,passenger1239,1,23
407,passenger1240,1,6
407,passenger1241,1,25
407,passenger1242,1,15
407,passenger1243,1,11
408,passenger1244,1,8
408,passenger1245,1,19
409,passenger1246,1,25
409,passenger1247,1,18
409,passenger1248,1,2
